top_sentence|article_url|sender|instance_id|subject|id|tags|timestamp
Officials in Charlottesville Virginiadeclared a state of emergency Saturday morning ahead of the “Unite the Right”rally as tensions rose and small clashes broke out.|http://www.foxnews.com/us/2017/08/12/emergency-declared-ahead-unite-right-rally-in-virginia.html|FoxNews.com||Clashes break out at white nationalist rally in Virginia local state of emergency declared|598f2827cd4d74061b00001b|['charlottesville virginia' 'rally' 'white nationalist rally' 'emergency' 'local state' 'unite' 'small clashes' 'officials' 'virginia' 'tensions' 'clashes']|2017-08-12T12:08:47-04:00
Breaking News: After white nationalists and neo-Nazis faced off with counter-protesters in Charlottesville Va. a state of emergency was declared|https://www.nytimes.com/2017/08/12/us/charlottesville-protest-white-nationalist.html|NYTimes.com|101532|Breaking News: After white nationalists and neo-Nazis faced off with counter-protesters in Charlottesville Va. a state of emergency was declared|598f2ad9cd4d74061b00001c|['white nationalists' 'header' 'charlottesville va' 'neo-nazis' 'counter-protesters' 'emergency']|2017-08-12T12:20:26-04:00
Police declared an unlawful assembly about 11:40 a.m. and gave a five-minute warning to leave Emancipation Park where hundreds of neo-Nazis Ku Klux Klan members and other white nationalists had gathered to protest the removal of a Confederate statue.|https://www.washingtonpost.com/world/national-security/calls-for-diplomacy-vie-with-fresh-threats-in-north-korea-crisis/2017/08/11/82df5396-7ec4-11e7-a669-b400c5c7e1cc_story.html|The Washington Post||News Alert: White nationalists ordered to vacate Charlottesville park before planned rally; local state of emergency declared|598f2bb5cd4d74061b00001d|['confederate' 'violence' 'violent clashes' '1140' 'five-minute warning' 'park' 'unlawful assembly' 'ku klux klan' 'emancipation park' 'rally local state' 'members' 'neo-nazis' 'response' 'noon “unite' 'statue' 'end' 'charlottesville' 'begun' 'hadn’t' 'governor' 'park —' 'white nationalists' 'hundreds' 'emergency' 'rally' 'removal' 'counterprotesters police' 'vacate']|2017-08-12T12:23:59-04:00
BREAKING: Alt-right rally in Charlottesville declared unlawful as Va. governor declares state of emergency|https://www.usatoday.com/story/news/2017/08/12/charlottesville-va-braces-alt-right-rally-thousands-robert-e-lee-statue/561833001/|USATODAY.com||BREAKING: Alt-right rally in Charlottesville declared unlawful as Va. governor declares state of emergency|598f2de9cd4d74061b00001e|['charlottesville va' 'unlawful' 'virginia' 'breaking alt-right' 'va' 'gathering' 'charlottesville' 'emergency' 'standby' 'pro-confederacy groups' 'gov' 'white nationalists neo-nazis alt-right activists' 'national guard' 'terry mcauliffe' 'violence' 'governor' 'rally']|2017-08-12T12:33:13-04:00
Police declared an unlawful assembly about 11:40 a.m. and gave a five-minute warning to leave Emancipation Park where hundreds of neo-Nazis Ku Klux Klans members and other white nationalists had gathered to protest the removal of a Confederate statue.|https://www.washingtonpost.com/local/fights-in-advance-of-saturday-protest-in-charlottesville/2017/08/12/155fb636-7f13-11e7-83c7-5bd5460f0d7e_story.html|The Washington Post||News Alert: White nationalists ordered to vacate Charlottesville park before planned rally; local state of emergency declared [corrected link]|598f2e67cd4d74061b000020|['link' 'response' '1140' 'begun' 'vacate' 'noon “unite' 'violent clashes' 'counterprotesters police' 'emancipation park' 'emergency' 'white nationalists' 'statue' 'rally local state' 'unlawful assembly' 'end' 'hundreds' 'members' 'ku klux klans' 'governor' 'park' 'violence' 'neo-nazis' 'five-minute warning' 'confederate' 'park —' 'rally' 'removal' 'charlottesville' 'hadn’t']|2017-08-12T12:35:26-04:00
Terry McAuliffe declared a state of emergency today as brawls between white nationalists and counter-protesters broke out in Charlottesville during one of the largest far-right demonstrations in at least a decade.||Los Angeles Times||Breaking News: State of emergency declared as brawls break out during white nationalists' rally in Virginia|598f2f81cd4d74061b000021|['white nationalists' 'charlottesville' 'white nationalists’ rally' 'one' 'far-right demonstrations' 'decade' 'latest' 'brawls' 'virginia' 'virginia virginia' 'gov' 'counter-protesters' 'emergency' 'terry mcauliffe' white nationalists' rally]|2017-08-12T12:40:05-04:00
White Nationalist Rally In Virginia Turns Violent; Emergency Declared White nationalists and counterprotesters clashed near a park in Charlottesville.|http://www.npr.org/sections/thetwo-way/2017/08/12/542982015/home-to-university-of-virginia-prepares-for-violence-at-white-nationalist-rally|NPR||White Nationalist Rally In Virginia Turns Violent; Emergency Declared|598f41bacd4d74061b000023|['white nationalists' 'park' 'virginia turns violent emergency declared' 'charlottesville' 'rally' 'counterprotesters']|2017-08-12T13:58:02-04:00
Police in riot gear were clearing a downtown park of protesters Saturday after local authorities declared a Unite the Right rally an unlawful assembly..|https://www.usatoday.com/story/news/2017/08/12/charlottesville-va-braces-alt-right-rally-thousands-robert-e-lee-statue/561833001/|USATODAY.com||BREAKING: Car hits crowd of protesters at white supremacist rally in Charlottesville Va.|598f43afcd4d74061b000024|['park' 'white supremacist rally' 'unlawful assembly..' 'local authorities' 'unite' 'riot gear' 'rally' 'hits crowd' 'breaking car' 'charlottesville va' 'protesters']|2017-08-12T14:06:14-04:00
A vehicle rammed into a crowd of counter-protesters in Charlottesville Virginia injuring an unknown amount of people during the Unite the Right rally taking place.|http://www.foxnews.com/us/2017/08/12/emergency-declared-ahead-unite-right-rally-in-virginia.html|FoxNews.com||Car plows into crowd of counter-protesters at Charlottesville ‘Unite the Right’ rally injuries unknown: reports say|598f45a4cd4d74061b000025|['plows' 'rally injuries unknown reports' 'place' 'vehicle' 'charlottesville' 'unknown amount' 'rally' 'counter-protesters' 'crowd' 'car' 'charlottesville virginia' 'unite']|2017-08-12T14:14:41-04:00
The city is on edge as white nationalists and counterprotesters remain in the streets after a Unite the Right rally was dispersed earlier today.|https://www.washingtonpost.com/local/fights-in-advance-of-saturday-protest-in-charlottesville/2017/08/12/155fb636-7f13-11e7-83c7-5bd5460f0d7e_story.html|The Washington Post||News Alert: At least 6 pedestrians struck along route of white nationalist march; witness said it was 'absolutely intentional'|598f4d3ccd4d74061b000027|['6' 'incident' 'edge' 'intentional' 'unite' 'matthew korbon' 'lets' 'condemn' 'city' 'charlottesville' 'route' 'america' 'president tweeted' 'three' 'white nationalists' 'melania trump' 'place' 'pedestrians' '10' 'feet' 'rally' 'trump' 'kind' 'violence' 'white nationalist march' 'twitter' 'streets' 'plow' 'counterprotesters' 'one”' 'car' 'crash happened' 'high speed rear-end']|2017-08-12T14:47:16-04:00
