58f63861cd4d7405950000ca	FACEBOOK KILLER DEAD : So-called Facebook Killer Steve Stephens who killed a man in Cleveland on Sunday sparking a five-state manhunt has killed himself2017-04-18T12:01:27-04:00	http://www.foxnews.com/	FoxNews.com		['so-called' 'stranger' 'pennsylvania' 'five-state manhunt' 'erie pa' 'facebook' 'man' 'killer steve stephens' 'facebook killer dead' 'easter sunday' 'cleveland' 'steve stephens']	Steve Stephens the Cleveland man who gunned down a stranger on Easter Sunday sparking a five-state manhunt killed himself after being stopped by police in Erie Pa. according to Pennsylvania State Police.
58fc1018cd4d740595000160	BREAKING NEWS: Erin Moran who played Joanie Cunningham in Happy Days dies at 562017-04-22T22:23:11-04:00	http://www.foxnews.com/	FoxNews.com		['child star' 'breaking news erin moran' 'sitcoms happy' 'erin moran' 'joanie cunningham' 'happy' 'joanie' '56' 'loves chachi' 'died']	Erin Moran the former child star who played Joanie Cunningham in the sitcoms Happy Days and Joanie Loves Chachi has died.
5878fac6cd4d74637300011b	PAY UP: Takata reportedly fined up to $1B in criminal settlement	2017-01-13T11:05:24-05:00	http://www.foxnews.com/	FoxNews.com		['1b' 'executives indicted' 'faulty air bag inflators' 'billion' 'pay up takata' '3' 'bloomberg' 'dozen deaths' 'takata' '1' 'reuters' 'criminal settlement']	Takata fined up to $1 billion in criminal settlement over faulty air bag inflators linked to more than a dozen deaths Reuters reports; 3 executives indicted according to Bloomberg.
58793f0ecd4d746373000131	PAVING THE WAY: House approves waiver for James Mattis to serve as Secretary of Defense	2017-01-13T15:56:45-05:00	http://www.foxnews.com/	FoxNews.com		['house' 'administration' 'representatives' 'james mattis' 'paving the way' 'house approves waiver' 'defense' 'trump' 'defense secretary' 'waiver' 'secretary']	The House of Representatives voted Friday to give James Mattis a waiver to serve as Defense Secretary in the Trump administration.
587aed3dcd4d74637300013e	END OF AN ERA: Ringling Brothers circus is closing down 'The Greatest Show on Earth' after a 146-year run	2017-01-14T22:31:49-05:00	http://www.foxnews.com/	FoxNews.com		['greatest' 'equal parts zoo museum' 'u.s.' 'circus' 'civil war' 'roots' 'brothers' 'show' 'ticket sales' 'decades' '146-year run' 'spectacle' 'end of an era ringling' 'ringling' 'earth' 'freak show']	The show which is closing down permanently because of declining ticket sales has its roots in a spectacle that began two decades before the U.S. Civil War -- equal parts zoo museum and freak show.
587cfca5cd4d746aac000004	ORLANDO KILLER'S WIFE ARRESTED: Noor Salman reportedly charged with obstruction	2017-01-16T12:02:12-05:00	http://www.foxnews.com/us/2017/01/16/fbi-reportedly-arrests-wife-orlando-nightclub-killer-omar-mateen.html	FoxNews.com		['noor salman' 'nightclub gunman' 'omar mateen' 'york' 'fbi' 'media reported' 'connection' orlando killer's wife arrested noor salman 'wife' 'massacre' 'orlando' 'obstruction']Noor Salman the wife of the Orlando nightclub gunman Omar Mateen was arrested by the FBI and charged with obstruction in connection with the massacre the New York Times and other media reported.
587d291fcd4d746aac00000f	LAST MAN ON THE MOON DEAD: Gene Cernan was 82	2017-01-16T15:11:52-05:00	http://www.foxnews.com/science/2017/01/16/eugene-cernan-last-man-to-walk-on-moon-dead-at-82.html	FoxNews.com		['astronaut' '82' 'confirms' 'age' 'moon' 'nasa' 'recent man' '1972' 'last man on the moon dead gene cernan' 'gene cernan']	Former astronaut Gene Cernan who in 1972 became the most recent man to walk on the moon has died at the age of 82 NASA confirms.
587d39abcd4d746aac000014	CAUGHT: Suspected Istanbul nightclub attacker reportedly in custody	2017-01-16T16:22:32-05:00	http://www.foxnews.com/	FoxNews.com		['hurriyet' 'nightclub' 'attack' '2' 'manhunt' 'newspaper reported' '39' 'caught suspected istanbul' 'weeks' 'custody' 'city' 'istanbul' 'nightclub attacker']	The suspect in the deadly New Year's attack at an Istanbul nightclub that left 39 dead was finally caught in the city after a manhunt lasting more than 2 weeks the Hurriyet newspaper reported.
587db918cd4d746aac00001e	SEARCH IS OVER: Officials end hunt for missing Malaysia Airlines Flight 370	2017-01-17T01:26:07-05:00	http://www.foxnews.com/	FoxNews.com		['airliner' 'plane' 'indian ocean' 'officials end hunt' 'search is over' 'three-year hunt' 'trace' 'stretches' 'airlines' 'malaysia' '370' 'search' 'flight']	The search for Malaysia Airlines Flight 370 has ended after a three-year hunt for the plane across stretches of the Indian Ocean failed to turn up any trace of the airliner.
587e4bd7cd4d746aac000041	DEADLY MISTAKE: Nigeria bombs refugee camp more than 100 killed	2017-01-17T11:52:15-05:00	http://www.foxnews.com/	FoxNews.com		['bombs refugee camp' 'deadly mistake nigeria' '100 state' 'boko haram' 'terrorists' 'official says' 'military jet' 'nigerian' '100']	Nigerian military jet targeting Boko Haram terrorists mistakenly bombs refugee camp killing more than 100 state official says.
587e8cf7cd4d746aac00004e	SENTENCE SHORTENED: Chelsea Manning will be freed in May after President Obama commutes her sentence	2017-01-17T16:30:15-05:00	http://www.foxnews.com/	FoxNews.com		['vast majority' chelsea manning's '17 2017' 'commutes' 'sentence' '35-year sentence' 'sentence shortened chelsea manning' 'solider' 'army documents' 'obama']President Obama commutes the vast majority of former solider Chelsea Manning's 35-year sentence for leaking Army documents which will end May 17 2017.
587eb3d2cd4d746aac00005e	IN CUSTODY: Suspected Orlando cop-killer arrested	2017-01-17T19:16:13-05:00	http://www.foxnews.com/	FoxNews.com		['orlando' 'foxnews.com.' 'complete' 'captured police announce' 'markeith loyd' 'officer' 'cop-killer' 'in custody suspected orlando' 'deaths' 'pregnant woman']	Markeith Loyd the suspect in the shooting deaths of an Orlando Police officer and a pregnant woman has been captured police announce.
