58db9d4ccd4d745b2e00002b	Breaking News: With a hand-delivered letter Britain has officially initiated Brexit. The long divorce is likely to be littered with pitfalls.2017-03-29T07:40:36-04:00		NYTimes.com	95206	['consequential' 'world war' 'sides' 'two-year divorce' 'ii prime' 'long divorce' 'diplomatic events' 'union' 'one' 'pitfalls' 'letter' 'theresa may' 'brexit' 'tortuous' 'formal notice' 'country’s intention' 'britain' 'minister']	In one of the most consequential diplomatic events in Britain since World WarII Prime Minister Theresa May on Wednesday sent formal notice of thecountry’s intention to withdraw from the European Union starting atortuous two-year divorce littered with pitfalls for both sides.
58dd1a62cd4d745b2e000055	Breaking News: President Trump called a conservative faction in the House a threat to the Republican agenda and vowed to fight them in 20182017-03-30T10:46:51-04:00		NYTimes.com	95274	['fast' 'twitter' '2018' 'conservatives' 'mr. trump' 'care' 'the freedom' 'house' 'fight' 'war' 'house freedom' 'act repeal' 'don’t' 'midterm elections' 'caucus' 'trump' 'fight them' 'hurt' 'threat' 'conservative faction' 'agenda']	President Trump called a conservative faction in the House a threat to the Republican agenda and vowed to “fight them” in 2018 President Trump on Thursday declared war on the conservatives of the HouseFreedom Caucus suggesting Republicans should “fight them” in the2018 midterm elections if they do not back his agenda.
58ef8f26cd4d740595000057	Breaking News: An American-led strike mistakenly killed 18 Syrian rebels who were allied with the U.S. The military called the episode tragic.2017-04-13T10:45:53-04:00		NYTimes.com	95992	['tabqah syria' 'u.s.' 'scores' 'episode “tragic' 'rebels' 'mosque' 'american-led' 'episode tragic' 'mosul iraq' 'allies' 'airstrikes' 'syrian' 'pentagon' '18' 'strike' 'syria' 'previous airstrikes' 'civilians']	The military called the episode “tragic.” The strike on Tuesday in Tabqah Syria was the third time in a month thatAmerican-led airstrikes may have killed civilians or allies and comes even asthe Pentagon is investigating two previous airstrikes that killed or woundedscores of civilians in a mosque complex in Syria and in a building in westMosul Iraq.	
58790274cd4d746373000122	Breaking News: The Chicago police have systemically violated civil rights says a scathing Justice Department report following a 13-month inquiry	2017-01-13T11:38:01-05:00		NYTimes.com	90123	['investigation' 'term' 'attorney' 'justice department said' 'the systems' 'loretta e. lynch' 'justice department report' 'lives' 'obama’s' 'affects' 'risk' 'civil rights' 'practice' 'excessive force' 'ordinary citizens' 'chicago' 'vast majority' 'african-americans' 'department officers' '13-month inquiry' 'latinos' 'end' 'department' 'policies']	“The systems and policies that fail ordinary citizens alsofail the vast majority of Chicago Police Department officers who risk theirlives every day to serve and protect the people of Chicago” said AttorneyGeneral Loretta E. Lynch who had raced to complete the investigation before theend of President Obama’s term.
58793c68cd4d74637300012d	Breaking News: The House joined the Senate in taking a major step toward repealing Obamacare adding urgency to the question of what comes next	2017-01-13T15:45:08-05:00		NYTimes.com	90132	['tear' 'budget blueprint' 'repeal' 'prospect' 'care act' 'groundwork' 'senate filibuster' 'major step' 'senate' 'house' 'obamacare' 'speedy action' 'health care law' 'question' 'urgency']	The House joined the Senate in taking a major step toward repealing Obamacare adding urgency to the question of what comes next The House joined the Senate on Friday in laying the groundwork for speedyaction to repeal the Affordable Care Act approving the budget blueprint passedby the Senate on Thursday that would allow Republicans to tear up the healthcare law without the prospect of a Senate filibuster.
587c52b8cd4d746373000146	Breaking News: South Korea is seeking to arrest the head of Samsung for his role in the corruption scandal that led to the president's impeachment	2017-01-15T23:57:16-05:00		NYTimes.com	90245	['head' 'korea' 'geun-hye’s' 'special prosecutor' 'impeachment' 'arrest' 'president park' 'samsung' 'corruption scandal' 'ms. park.' 'conglomerate' 'role' 'korea’s']	South Korea is seeking to arrest the head of Samsung for his role in the corruption scandal that led to the president's impeachment A special prosecutor investigating the corruption scandal that led toPresident Park Geun-hye’s impeachment said on Monday that he was seekingto arrest the de facto head of Samsung South Korea’s largestconglomerate on charges of bribing Ms. Park.
587cfc48cd4d746aac000003	Breaking News: The wife of the Orlando nightclub gunman has been arrested by the F.B.I. and charged with obstruction of justice	2017-01-16T12:00:53-05:00		NYTimes.com	90291	['49' 'attack' 'aftermath' 'custody' 'prosecutors' 'obstruction' 'nightclub gunman' 'f.b.i.' 'san francisco' 'dozens' 'noor salman' 'wife' 'justice' 'orlando' 'agents']	and charged with obstruction of justice Noor Salman was taken into custody by F.B.I.
587d775ecd4d746aac00001c	Breaking News: Gene Cernan the astronaut known for his daring and the last man to walk on the moon has died. He was 82.	2017-01-16T20:45:34-05:00		NYTimes.com	90299	['astronaut' 'eugene a. cernan' 'gene cernan' 'died' 'lunar surface look routine' 'spacewalks' 'tether' 'reckless streak' 'three' 'world' 'drift weightless' 'earth' 'romps' 'man' 'breaking news gene cernan' 'space' 'test pilot’s' 'ferocious competitor' 'aerospace records' 'sir-nun' '82' 'moon']	A ferocious competitor with a test pilot’s reckless streak Eugene A.Cernan (pronounced SIR-nun) rocketed into space three times was the secondAmerican to drift weightless around the world on a tether went to the moontwice and shattered aerospace records on the Earth and the moon.
587e11b9cd4d746aac000038	Breaking News: Britain's leader in a major speech backed a clean break from the E.U. its single market and its court system	2017-01-17T07:44:29-05:00		NYTimes.com	90320	['prime' 'theresa may' 'four' 'european union' 'course' 'leader' 'minister' 'court system' 'major speech' 'e.u.' 'decades' 'integration' 'continent' 'market' 'neighbors' 'relations' 'britain’s' 'speech']	Britain's leader in a major speech backed a clean break from the E.U. its single market and its court system In a speech that holds the potential to define Britain’s relations withits neighbors for decades to come Prime Minister Theresa May on Tuesday charteda course toward a clean break with the European Union after more than fourdecades of integration with the Continent.
587e5d9ecd4d746aac000043	Breaking News: Nigeria mistakenly bombed a refugee camp while hunting militants. Doctors Without Borders counted 50 people dead and 120 injured.	2017-01-17T13:08:15-05:00		NYTimes.com	90351	['nigeria' 'camp' 'fighters' 'nigerian' 'militants' 'boko haram' 'injured' '120' 'others' 'fighter jet' 'humanitarian workers' 'scores' 'breaking news nigeria' 'camp residents' '50' 'refugee camp' 'doctors' 'borders']	A Nigerian fighter jet searching for Boko Haram fighters on Tuesday bombed acamp for displaced people who had fled the militants killing scores of campresidents and wounding many others including humanitarian workers.
5881768ccd4d744297000003	Breaking News: U.S. intelligence agencies are examining intercepted communications and data for links between Donald Trump's associates and Russia	2017-01-19T21:31:11-05:00		NYTimes.com	90570	\['redirect' 'oversee' 'oath' 'associates' 'investigation' 'intelligence agencies' 'data' 'mr. trump' 'president-elect' 'links' 'u.s.' 'agencies' 'communications' 'russia' 'russian government' 'counterintelligence investigation' 'donald j. trump' 'breaking news u.s.' 'efforts' 'authority' \donald trump's\]|U.S. intelligence agencies are examining intercepted communications and data for links between Donald Trump's associates and Russia The continuing counterintelligence investigation means that President-electDonald J. Trump will take the oath of office on Friday with his associates underinvestigation and after the intelligence agencies concluded that the Russiangovernment had worked to help elect him.
58822a7ccd4d744297000018	Breaking News: Donald Trump is now meeting with the Obamas at the White House; he'll be sworn in around 11:45 Eastern. Get live video and analysis.	2017-01-20T10:19:14-05:00	https://www.nytimes.com/interactive/2017/01/20/us/politics/inauguration-day-live.html	NYTimes.com	90601	['he’ll' '1145' 'country' 'york' 'reporters' 'sworn' 'reporting photography' 'breaking news donald trump' 'house' 'inauguration' 'video' 'donald trump' 'dozens' 'obamas' 'comprehensive coverage' 'highlights' 'on-the-ground' 'analysis' 'eastern' 'meeting']	Donald Trump is now meeting with the Obamas at the White House; he’ll be sworn in around 11:45 Eastern.
