0.0	0.0
attorney	25
attorney general removes	1
bill clinton	5
clinton	36
loretta lynch	5
lynch	4
capital	5
capital city	2
dhaka	3
hostages	4
restaurant	3
u.s.	108
116	1
64	1
barack obama's	8
civilians	1
drone strikes	1
house	55
obama	48
strikes	4
track drone strikes	1
white house	42
alert bangladesh	2
bangladesh	2
dhaka bangladesh	1
forces	3
gunmen	4
hostages police spokesman	1
militants	2
night	20
night before	1
state militants	1
wsj news alert bangladeshi forces free	1
20	6
bangladeshi	1
cafe siege	1
military official	1
military official said	1
restaurant attack	1
siege	1
six	12
twenty	1
upscale	1
upscale restaurant	1
emails	9
fbi	20
fbi interviews	1
hillary clinton	35
personal email server	3
secretary	39
state fbi investigators	1
87	3
alert elie wiesel	1
author	1
breaking elie wiesel holocaust	1
breaking news elie wiesel	1
breaking news nobel	2
concentration camp survivor	1
elie wiesel	1
elie wiesel holocaust survivor	1
elie wiesel nobel	1
elie wiesel nobel laureate	1
holocaust	1
israel's holocaust	1
israel's yad vashem holocaust	1
laureate	1
nobel	8
nobel laureate dies	1
peace prize	4
peace prize laureate	1
peace prize winner	2
survivor	1
survivor author	1
wiesel	1
110	1
agency	14
careless	1
comey	22
department	32
different email servers	1
director	31
email	6
email case	2
email server	2
email use while secretary	1
evidence	3
fbi director	28
fbi headquarters	1
hillary clinton's	19
information	13
information director	1
information fbi director	1
investigation	40
james comey	25
justice department	18
private email server	8
reasonable prosecutor	1
secret information	2
sensitive emails	1
sensitive information	4
state fbi	1
won't recommend clinton be indicted	1
2013	5
6	4
alert oscar pistorius	1
breaking oscar pistorius	1
day 2013	1
girlfriend	2
girlfriend model	1
girlfriend's murder	1
murder	10
murder conviction	2
murder oscar pistorius	1
oscar pistorius	1
oscar pistorius sentenced	1
pistorius	1
pistorius sentenced	1
prison	6
reeva steenkamp	1
2003	1
alert long-awaited	1
before peaceful options	1
blair	1
breaking u.k. iraq	1
chilcot	1
disarmament exhausted	1
inquiry	1
intelligence	26
invading iraq	1
invasion	2
iraq	2
john chilcot	1
minister	30
peaceful options	1
prime	22
prime minister	22
resort	1
resort war inquiry chairman	1
sir john chilcot	1
tony blair	1
war	7
wsj news alert long-awaited	1
8400	1
afghan	1
afghan forces	1
afghanistan	4
afghanistan obama	1
alert obama	6
barack obama	18
breaking news obama	4
end	3
obama slows afghan withdrawal	1
troops	1
alton sterling	1
baton	5
cell phone video	1
edwards	2
governor	9
john bel edwards	2
rouge	5
rouge louisiana	3
sterling	1
video	8
breaking hillary clinton	6
breaking news hillary clinton	6
clinton email	1
closed	1
closed atty	1
closes investigation	1
criminal charges attorney	1
email investigation	6
general attorney	1
hillary clinton loretta lynch	1
loretta lynch accepts	1
wsj news alert clinton email	1
andrea leadsom	2
conservative	7
contest	1
leadership	2
leadership race	2
leadsom	2
theresa may	17
theresa may andrea leadsom	1
tory	1
wsj news alert theresa may andrea leadsom	1
gov	17
have” gov	1
mark dayton	1
minnesota	4
philando castile	3
white	1
10	6
11	5
3	6
4	3
7	6
alert dallas	2
authority dart police officer	1
breaking dallas	2
breaking news dallas	2
breaking news snipers	1
brown	1
chief	14
claims bombs	1
community college garage	1
custody	9
custody police said	1
dallas	6
dallas police	1
dallas protest	1
dallas protest leaves	1
dallas wfaa-tv	1
david brown	1
five	11
four	9
garage	1
men shot	1
national news	2
news alert	18
officer	14
officers	16
officers are shot	1
officers dead	4
officers killed	3
officers shot	2
one	30
parking garage	1
police chief	3
police officer	11
police officer killed	2
police officers	16
police officers shot	3
police shootings	2
recent fatal police shootings	1
recent police shootings	2
shootings	5
shot	17
shots at officers	1
sniper shootings	1
snipers	2
snipers exchange fire	1
snipers shoot	1
snipers shot	1
standoff	4
three	17
transit police officers	1
watch live dallas	2
attack	43
breaking obama dallas	1
despicable attack	1
fatal shootings	1
final dallas shootings suspect	1
law enforcement	4
obama pray	1
shootings 'vicious	1
alert fourth dallas	1
chief suspect	1
suspect	5
upset	1
white officers	2
white officers police chief says	1
white people' police chief	1
180000	4
287000	1
4.9	4
alert u.s.	22
breaking news employers added	4
economy	20
employers	7
expectations	3
important economy	1
jobs	14
labor	12
momentum	1
month u.s.	1
new jobs	6
u.s. jobs created	1
unemployment	8
unemployment rate	12
unemployment rate rises	3
us jobs	1
25	5
5	5
a gunman	1
ag loretta lynch	1
ambush	1
ambush murder	1
breaking ag loretta lynch	1
breaking news gunman id'd	1
federal law enforcement officials	1
gunman	7
johnson	1
law enforcement officials	2
micah johnson	1
micah x. johnson	1
micah xavier johnson	1
officials	23
shootings identified law enforcement officials	1
update gunman	1
abbott	1
complete coverage	1
greg abbott	1
greg abbott dallas	1
law enforcement officers	3
lone gunman	1
materials ballistic vests rifles ammunition	1
mayor	6
rifles	1
texas	6
texas georgia tennessee	1
22nd	2
6-3	1
7-5	1
7-5 6-3	1
alert serena williams	1
angelique kerber	2
breaking news serena williams	1
breaking serena williams	2
final	3
final ties	1
open era record	1
record	8
serena williams	2
serena williams makes history	1
singles title	1
singles title today	1
slam	4
tennis record books	1
title	10
williams	3
wimbledon	2
wimbledon victory	1
wimbledon victory serena williams	1
wsj news alert serena williams makes history	1
us	21
watch live obama	2
6-4	2
6-4 7-63 7-62	1
alert andy murray	1
andy murray	1
andy murray wins	1
breaking andy murray	1
defeats	1
grand slam title overall	1
milos raonic	1
murray	1
raonic	1
wimbledon title	1
wimbledon title andy murray	1
wsj news alert andy murray wins	1
1-0	1
2016	23
alert portugal	1
breaking portugal	1
defeats host nation	1
euro	1
extra time	1
extra time tally	1
france	7
portugal	1
portugal stuns france	1
ronaldo-less portugal	1
soccer final portugal	1
uefa euro	1
win euro	1
wsj news alert portugal stuns france	1
 conservative party leadership race	1
andrea leadsom withdraws leadsom	1
breaking theresa may	2
british prime minister	3
david cameron	3
ft. andrea leadsom	1
hopeful andrea leadsom pulls	1
lawmakers	7
leader	13
minister race	1
new prime minister	3
outgoing prime minister	1
party	16
party lawmakers	1
quits	1
quits race	1
race	10
rival quits race	1
secretary theresa may	1
succeed david cameron	1
succeed david cameron andrea leadsom	1
succeed prime minister	1
u.k.	4
u.k.'s	1
u.k.'s conservative party	1
wsj news alert u.k.	1
alert david cameron	1
bayh	1
breaking news david cameron	1
cameron	2
cameron prime	1
complete	1
duncan	1
evan bayh	1
foxnews.com.	2
home minister	1
nba all-star tim duncan	1
nba finals mvp	1
pm david cameron	1
prime minister's questions	1
resign	6
senate race	3
senate seat	2
u.k. prime	2
wednesday theresa may	1
wsj news alert theresa may	1
bailiffs	1
bailiffs killed	1
berrien	1
county	8
county courthouse	1
county employee	1
county prosecutor's office	1
county sheriff	2
court bailiffs	1
courthouse	1
courthouse shooting	1
courthouse shooting sheriff	1
employee	1
michigan	2
shot officials said	1
china	7
china sea	2
chinese claims	1
claims	5
claims contravenes	1
extensive claims	1
hague	1
historic rights	1
international tribunal	1
international tribunal rules	1
nine-dash line claims	1
philippines	1
philippines an	1
sea	6
sea dispute	1
sea invalid	1
territorial claims	1
tribunal	1
tribunal rules	1
un tribunal rules	1
vast territorial claims	1
alert bernie sanders	1
appearance	1
bernie sanders	3
bernie sanders endorses hillary clinton praises progressive	1
breaking sanders	1
campaign rally	1
democratic party	1
endorses	1
grill attorney	1
hampshire	2
portsmouth	1
portsmouth n.h.	1
president bernie sanders	1
presumptive	2
primary	4
rally	6
sanders	2
senator's endorsement	1
unity bernie sanders endorses hillary clinton	1
vermont	2
watch live bernie sanders	1
watch live clinton sanders	1
wsj news alert bernie sanders endorses hillary clinton praises progressive	1
dallas texas	1
interfaith memorial service	1
memorial	3
memorial service	2
police officers slain	1
500	5
alert dow jones	2
average	6
composite	1
dow	11
dow industrials sp	1
dow jones	9
highs	1
index	1
industrial average closes	1
market update dow sp	1
nasdaq	1
points	6
record highs	1
record highs ahead	1
sp	3
wsj news alert dow industrials sp	1
alert theresa may	1
breaking news theresa may	1
buckingham	2
buckingham palace	1
elizabeth	2
elizabeth ii	2
government	18
new government	2
palace	3
pm cameron	1
prime minister 'greatest honor	1
prime minister buckingham	1
queen	3
resignation	4
wsj news alert theresa may becomes u.k. prime	1
bank	13
england	5
england holds rates	1
england leaves key interest unchanged	1
breaking ruth bader ginsburg	1
candidate	8
comments	4
court	29
criticizing donald trump	1
criticizing donald trump ruth bader ginsburg	1
criticizing trump	1
donald trump	145
future	1
ginsburg	1
ginsburg says	1
inquiries	1
issues statement	1
judges	2
justice	22
on reflection	1
presidential candidate	4
public office	1
recent remarks	1
regret	1
regrets' comments	1
regrets' comments she's	1
response	5
ruth bader ginsburg	1
statement	17
supreme court justice	3
trump	227
emmy	2
nominations	4
alert trump	46
breaking indianapolis star mike pence	1
donald trump's	66
donald trump's vp	1
gop	11
indiana	8
mate	6
mate gop officials	1
mike pence	9
pence	7
running mate	3
says donald trump	1
vice	5
wsj news alert mike pence	1
30	2
70	1
75	2
alert donald trump	13
announcement	2
apparent attack	1
bastille	1
bastille day	1
breaking donald trump	10
crowd	3
day crowd	1
dead	7
donald trump will pick indiana	1
dozens	4
dozens dead	1
driver	1
french	5
french city	1
french crowd celebrating bastille	1
french official	1
french television	1
french tv	1
guns grenades officials	1
hits crowd	1
holiday crowd	1
horrible attack	1
indiana's mike pence	1
large crowd	1
large truck	2
lorry attack	1
lorry hits crowd	1
mate announcement	1
news conference	11
nice	3
nice dozens	1
nice france	3
nice matin	1
seafront local officials estimated	1
southern	2
the truck	1
ticket trump	1
truck	5
truck attack	6
truck attack 'the	1
truck attack police	1
truck driver	1
truck hits crowd	1
truck plows	2
truck runs	1
2q	2
2q profit	2
billion	17
citigroup	3
citigroup tops expectations	1
earnings	3
earnings match expectations	1
estimate	3
profit	7
profit wells fargo earnings slip	1
profit wells fargo earnings slip citigroup	1
wells fargo	5
wsj news alert citigroup tops expectations	1
84	3
terror attack	9
terrorist attack	5
a.m. trump	1
breaking news donald trump	23
donald trump names indiana	1
donald trump picks indiana	1
nominee	19
presumptive gop nominee	1
presumptive republican	1
running mate donald trump	1
running mate trump	1
twitter	1
wsj news alert donald trump picks indiana	1
2002	1
28	2
28 pages	1
911	9
attacks	9
commission	3
congressional investigation	1
government releases	1
material	1
pages	1
part	4
saudi	3
saudi arabia	8
saudi arabian	1
senate intelligence committees	1
terror attacks	5
ties	1
alert coup	1
ankara	3
attempt	2
binali yildirim	1
breaking news turkey's	2
bridges	1
coup	1
coup attempt	1
coup attempt turkey's	1
ft. coup	1
istanbul	6
jets	1
major bridges	1
military	8
military jets	1
turkey	9
turkish capital	1
turkish military jets	1
erdogan	2
istanbul amid chaotic coup attempt	1
istanbul amid chaotic coup attempt wire	1
turkish president	2
42	2
60	3
attempt government	1
attempt plunges	1
attempt rises	1
1563	1
military personnel	1
alert islamic	3
claims responsibility	6
islamic	9
media	5
nice islamic	1
responsibility	7
state claims responsibility	3
wsj news alert islamic	2
choice	1
indiana gov	1
indiana gov. mike pence	1
order' ticket donald trump	1
trump introduces mike pence	1
trump pence	1
watch live donald trump	2
wsj news alert trump introduces mike pence	1
multiple	9
multiple officers shot	1
officers shot dead	1
others	5
others injured	1
police officers shot dead	1
rouge la	2
rouge la. authorities say	1
shooting	7
as gavin	1
breaking louisiana	1
gavin	1
gavin long	1
louisiana	1
police chief hold press conference	1
police shooter	1
press conference	3
shooter	5
2014	5
agency finds	1
agency inquiry finds	1
anti-doping	1
anti-doping agency	1
athletes	4
games	6
ministry	4
multiple olympic sports	1
olympics	10
russia	30
russian	28
russian athletes	3
russian ministry	1
russian sports ministry	1
sochi	2
sochi olympics	1
sochi winter games	1
sports	3
world	5
alert baltimore	1
baltimore	2
breaking baltimore	1
brian rice	1
death	19
freddie	2
freddie gray	2
gray trial reports	1
involuntary manslaughter	2
judge	17
lt	2
manslaughter	5
officer involved	1
police lt	1
rice	1
trial	9
trial in gray's death	1
wsj news alert baltimore	1
cleveland	8
cleveland ohio	4
convention	15
national convention	10
assassinated state police superintendent col	1
rouge la. monday.	1
convention rules	1
floor	2
force	2
full floor vote	1
leaders	9
national convention delegates	1
states' vote	1
voice vote instead	1
vote	33
germany	2
man	17
train	3
blog	1
gop convention	3
melania	3
melania trump	5
national convention enters	1
notable speakers	1
speakers	1
wife	5
republican convention melania trump	1
stage	3
watch live melania trump	1
3.72	1
expectations goldman sachs	1
goldman	3
goldman sachs	6
goldman sachs profit	1
share	4
wsj news alert goldman sachs profit	1
campaign	39
digital hangout	3
fnc digital hangout	3
news hosts	3
ailes	5
ailes —	1
anchor	2
century	4
ceo	8
ceo roger ailes	4
gretchen carlson	2
mr. ailes	1
oust fox's roger ailes	1
roger ailes	5
sexual harassment	5
sexual harassment allegations	3
york	14
cleveland trump	1
delegates	1
donald trump officially receives republican nomination	1
evening delegates	1
formal nomination	1
free delegates	1
monday trump's	1
nominates donald trump ending dramatic primary season	1
nominates donald trump ending dramatic primary season donald trump	1
nomination	12
nomination process	1
party's nominee	1
presidential nomination	3
presidential nomination today on	1
presidential nominee	12
roll	2
roll-call vote	1
wsj news alert republican	1
2016 house speaker	1
chris christie ben carson	1
click	4
go	5
house speaker	8
majority	13
mitch mcconnell	4
paul ryan	10
senate	55
senate majority leader	1
speaker	9
tiffany trump	1
81	1
garry marshall	1
happy	1
marshall	1
pretty	1
tv	3
tv hits	1
woman	6
writer-director garry marshall	1
2008	1
breaking trump	34
campaign identifies staffer	1
convention speech	1
democratic convention speech	1
melania trump's	1
melania trump's monday-night	1
melania trump's speech	1
melania trump's speechwriter accepts responsibility	1
meredith mciver	1
michelle obama	3
michelle obama's words	1
mrs. trump	1
organization	2
organization staffer	1
party convention speech	1
passages	1
speech	11
speech 'mistake	1
speechwriter	1
staff writer	1
staffer	1
trump organization	2
2016 gov	1
2016 sen	2
accepts gop nomination	2
accepts vice	1
convention crowd	1
cruz	3
endorse donald trump	1
live coverage vp nominee mike pence	1
marco rubio	3
mate addresses	1
mike pence donald trump’s	1
mike pence indiana	1
national convention speech	2
national convention tonight	1
newt gingrich	1
prime-time	1
rivals	1
ted cruz	3
ted cruz eric trump	1
ted cruz newt gingrich	1
ted cruz will	1
vice president	6
ban	19
field athletes	2
rio olympics	14
russian track	1
track	1
defiant texas	1
donald trump cruz	2
acquisition	1
cigna	1
justice department sues	1
arrest	3
attack brazil's	1
brazil	2
justice minister	1
justice minister announces	1
olympics brazil's	1
police arrest	1
wsj news alert brazil	1
allegations	4
chairman	15
channel	3
company	13
effective immediately	1
effective immediately parent company	1
executive chairman	1
lawsuit	2
murdoch	1
network	3
new chairman	2
news chairman	2
news channel	3
parent company	4
roger ailes accused	1
roger ailes resigns	1
role	5
rupert murdoch	1
rupert murdoch will	1
